year,month,best_scene_date,candidate_area_ha,candidate_percent,presence_class,usable_percent,qa_excluded_percent,scene_id,status,observation_count,valid_observation_count,mean_clear_score,scene_cloud_percent,aoi_area_ha,missing_coverage_percent
2018,7,2018-07-05,688.721646,97.423259,Strong Yes,100.000000,0.000000,20180705T140739_20180705T140733_T26XNF,Valid,2,2,0.929138,3.079297,706.937595,0.000000
2018,8,,,,Uncertain,,,,No imagery,0,0,,,,
2018,9,2018-09-17,22.280486,3.151691,Minor,97.769636,2.230364,20180917T134809_20180917T134858_T26XNF,Valid,4,3,0.918909,2.037294,706.937595,0.000000
2019,7,2019-07-04,32.909994,4.655290,Minor,100.000000,0.000000,20190704T134739_20190704T134735_T26XNF,Valid,14,10,0.897729,2.253469,706.937595,0.000000
2019,8,2019-08-11,57.181159,8.088572,Minor,99.874713,0.125287,20190811T140021_20190811T140018_T26XNF,Valid,12,8,0.894244,6.487862,706.937595,0.000000
2019,9,2019-09-12,18.498415,2.616697,Minor,98.514351,1.485649,20190912T134749_20190912T134743_T26XNF,Valid,8,4,0.911581,5.736526,706.937595,0.000000
2020,7,2020-07-01,80.144581,11.336868,Yes,100.000000,0.000000,20200701T135739_20200701T135733_T26XNF,Valid,5,3,0.905344,2.176648,706.937595,0.000000
2020,8,2020-08-25,8.457676,1.196382,Minor,99.676557,0.323443,20200825T140021_20200825T140020_T26XNF,Valid,12,6,0.905895,1.712997,706.937595,0.000000
2020,9,2020-09-27,255.984704,36.210368,Strong Yes,97.443456,2.556544,20200927T141011_20200927T141010_T26XNF,Valid,7,4,0.914819,1.454202,706.937595,0.000000
2021,7,2021-07-01,95.690493,13.535918,Yes,100.000000,0.000000,20210701T140021_20210701T140016_T26XNF,Valid,12,9,0.903988,0.674188,706.937595,0.000000
2021,8,2021-08-07,15.859115,2.243354,Minor,99.935591,0.064409,20210807T135031_20210807T135031_T26XNF,Valid,10,3,0.906227,1.989153,706.937595,0.000000
2021,9,2021-09-18,701.737144,99.264369,Strong Yes,99.985147,0.014853,20210918T133729_20210918T133725_T26XNF,Valid,6,2,0.906840,7.594603,706.937595,0.000000
2022,7,2022-07-13,87.352782,12.356505,Yes,100.000000,0.000000,20220713T135111_20220713T135112_T26XNF,Valid,4,4,0.906211,2.970269,706.937595,0.000000
2022,8,2022-08-25,12.101570,1.711830,Minor,100.000000,0.000000,20220825T135741_20220825T135743_T26XNF,Valid,7,5,0.910183,6.584879,706.937595,0.000000
2022,9,2022-09-02,13.409343,1.896821,Minor,100.000000,0.000000,20220902T140739_20220902T140736_T26XNF,Valid,8,8,0.889084,6.194332,706.937595,0.000000
2023,7,2023-07-04,139.161140,19.685067,Yes,100.000000,0.000000,20230704T141041_20230704T141126_T26XNF,Valid,12,9,0.913861,5.374793,706.937595,0.000000
2023,8,2023-08-13,15.271151,2.160184,Minor,100.000000,0.000000,20230813T141041_20230813T141039_T26XNF,Valid,14,11,0.906786,1.592148,706.937595,0.000000
2023,9,2023-09-14,21.678773,3.066575,Minor,99.943295,0.056705,20230914T140049_20230914T140046_T26XNF,Valid,10,8,0.902817,1.829211,706.937595,0.000000
2024,7,2024-07-07,85.721670,12.125776,Yes,100.000000,0.000000,20240707T134729_20240707T134728_T26XNF,Valid,9,9,0.904231,1.595011,706.937595,0.000000
2024,8,2024-08-06,6.454890,0.913078,Trace,99.941253,0.058747,20240806T134729_20240806T134728_T26XNF,Valid,8,5,0.900457,2.518426,706.937595,0.000000
2024,9,2024-09-06,5.485214,0.775912,Trace,99.332021,0.667979,20240906T140731_20240906T141100_T26XNF,Valid,11,8,0.907084,2.836995,706.937595,0.000000
2025,7,2025-07-02,102.848530,14.548460,Yes,100.000000,0.000000,20250702T135751_20250702T140022_T26XNF,Valid,18,17,0.905118,29.053140,706.937595,0.000000
2025,8,2025-08-19,7.340124,1.038299,Minor,99.738835,0.261165,20250819T135751_20250819T140017_T26XNF,Valid,9,8,0.907227,9.090998,706.937595,0.000000
2025,9,2025-09-02,7.204823,1.019160,Minor,99.362572,0.637428,20250902T134131_20250902T134130_T26XNF,Valid,10,5,0.909925,2.536830,706.937595,0.000000
